2025-05-05T10:30:04.751450,akmuo,popierius,pralaimėjai
2025-05-05T10:30:08.288231,akmuo,žirklės,laimėjai
2025-05-05T10:30:10.618257,akmuo,akmuo,lygiosios
2025-05-05T10:31:38.586381,akmuo,žirklės,laimėjai
2025-05-05T10:31:40.643052,žirklės,akmuo,pralaimėjai
2025-05-05T10:31:41.726852,popierius,popierius,lygiosios
2025-05-05T10:31:42.684374,akmuo,akmuo,lygiosios
2025-05-05T10:31:43.138245,popierius,akmuo,laimėjai
2025-05-05T10:31:43.520887,žirklės,popierius,laimėjai
2025-05-05T10:31:43.840281,popierius,akmuo,laimėjai
2025-05-05T10:31:44.155580,akmuo,popierius,pralaimėjai
2025-05-05T10:31:44.638925,popierius,popierius,lygiosios
2025-05-05T10:31:45.149916,žirklės,popierius,laimėjai
2025-05-05T10:31:51.062841,akmuo,popierius,pralaimėjai
2025-05-05T10:31:51.517221,popierius,popierius,lygiosios
2025-05-05T10:31:52.146853,žirklės,popierius,laimėjai
